Lead Number,Type of Ad Seen
660737,Not Applicable
660728,Not Applicable
660727,Not Applicable
660719,Not Applicable
660681,Not Applicable
660680,Not Applicable
660673,Not Applicable
660664,Not Applicable
660624,Not Applicable
660616,Not Applicable
660608,Not Applicable
660570,Not Applicable
660562,Not Applicable
660558,Not Applicable
660553,Not Applicable
660547,Not Applicable
660540,Not Applicable
660534,Not Applicable
660522,Not Applicable
660509,Not Applicable
660479,Not Applicable
660478,Not Applicable
660471,Not Applicable
660461,Not Applicable
660458,Not Applicable
660447,Not Applicable
660432,Not Applicable
660424,Not Applicable
660423,Not Applicable
660410,Not Applicable
660402,Not Applicable
660374,Not Applicable
660361,Not Applicable
660339,Not Applicable
660333,Not Applicable
660321,Not Applicable
660312,Not Applicable
660267,Not Applicable
660255,Not Applicable
660236,Not Applicable
660235,Not Applicable
660222,Not Applicable
660215,Not Applicable
660203,Not Applicable
660194,Not Applicable
660180,Not Applicable
660174,Not Applicable
660153,Not Applicable
660149,Not Applicable
660128,Not Applicable
660087,Not Applicable
660070,Not Applicable
660069,Not Applicable
660050,Not Applicable
660048,Not Applicable
660030,Not Applicable
659998,Not Applicable
659963,Not Applicable
659942,Not Applicable
659937,Not Applicable
659931,Not Applicable
659925,Not Applicable
659918,Not Applicable
659896,Not Applicable
659889,Not Applicable
659875,Not Applicable
659853,Not Applicable
659849,Not Applicable
659833,Not Applicable
659830,Not Applicable
659819,Not Applicable
659820,Not Applicable
659806,Not Applicable
659784,Not Applicable
659782,Not Applicable
659779,Not Applicable
659727,Not Applicable
659722,Not Applicable
659720,Not Applicable
659710,Not Applicable
659708,Not Applicable
659705,Not Applicable
659704,Not Applicable
659700,Not Applicable
659696,Not Applicable
659685,Not Applicable
659676,Not Applicable
659644,Not Applicable
659631,Not Applicable
659630,Not Applicable
659614,Not Applicable
659607,Not Applicable
659600,Not Applicable
659582,Not Applicable
659567,Not Applicable
659562,Not Applicable
659555,Not Applicable
659545,Not Applicable
659523,Not Applicable
659507,Not Applicable
659492,Not Applicable
659480,Not Applicable
659474,Not Applicable
659469,Not Applicable
659463,Not Applicable
659447,Not Applicable
659438,Not Applicable
659437,Not Applicable
659411,Not Applicable
659407,Not Applicable
659395,Not Applicable
659371,Not Applicable
659369,Not Applicable
659366,Not Applicable
659364,Not Applicable
659357,Not Applicable
659345,Not Applicable
659334,Not Applicable
659293,Not Applicable
659287,Not Applicable
659283,Not Applicable
659281,Not Applicable
659263,Not Applicable
659248,Not Applicable
659244,Not Applicable
659241,Not Applicable
659238,Not Applicable
659221,Not Applicable
659217,Not Applicable
659203,Not Applicable
659191,Not Applicable
659182,Not Applicable
659170,Not Applicable
659158,Not Applicable
659153,Not Applicable
659146,Not Applicable
659142,Not Applicable
659141,Not Applicable
659138,Not Applicable
659132,Not Applicable
659123,Not Applicable
659117,Not Applicable
659106,Not Applicable
659094,Not Applicable
659079,Not Applicable
659076,Not Applicable
659074,Not Applicable
659069,Not Applicable
659057,Not Applicable
659050,Not Applicable
659038,Not Applicable
659036,Not Applicable
659016,Not Applicable
659013,Not Applicable
658983,Not Applicable
658976,Not Applicable
658932,Not Applicable
658917,Not Applicable
658888,Not Applicable
658856,Not Applicable
658852,Not Applicable
658831,Not Applicable
658828,Not Applicable
658826,Not Applicable
658793,Not Applicable
658779,Not Applicable
658773,Not Applicable
658766,Not Applicable
658756,Not Applicable
658744,Not Applicable
658714,Not Applicable
658689,Not Applicable
658686,Not Applicable
658677,Not Applicable
658675,Not Applicable
658656,Not Applicable
658652,Not Applicable
658648,Not Applicable
658634,Not Applicable
658627,Not Applicable
658623,Not Applicable
658620,Not Applicable
658618,Not Applicable
