Company,Product,Style,Rating
New Touch,T's Restaurant Tantanmen ,Cup,3.75
Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,1.0
Nissin,Cup Noodles Chicken Vegetable,Cup,2.25
Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,2.75
Ching's Secret,Singapore Curry,Pack,3.75
Samyang Foods,Kimchi song Song Ramen,Pack,4.75
Acecook,Spice Deli Tantan Men With Cilantro,Cup,4.0
Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,3.75
Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,0.25
KOKA,The Original Spicy Stir-Fried Noodles,Pack,2.5
Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,5.0
Yamachan,Yokohama Tonkotsu Shoyu,Pack,5.0
Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,4.25
Nissin,Deka Buto Kimchi Pork Flavor,Bowl,4.5
Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,5.0
KOKA,Mushroom Flavour Instant Noodles,Cup,3.5
TRDP,Mario Masala Noodles,Pack,3.75
Yamachan,Tokyo Shoyu Ramen,Pack,5.0
Binh Tay,Mi Hai Cua,Pack,4.0
Paldo,Premium Gomtang,Pack,4.0
Nissin,Cup Noodles Laksa Flavour,Cup,4.25
Jackpot Teriyaki,Beef Ramen,Pack,5.0
KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,5.0
Yamachan,Sapporo Miso Ramen,Pack,4.75
Ching's Secret,Hot Garlic Instant Noodles,Pack,4.25
Samyang Foods,Song Song Kimchi Big Bowl,Bowl,4.25
Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,3.5
Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,4.75
MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,5.0
KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,4.0
Samyang Foods,Paegaejang Ramen,Pack,5.0
Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,4.5
Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,4.0
New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,3.75
KOKA,Instant Noodles Laksa Singapura Flavour,Pack,5.0
Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,1.5
KOKA,Curry Flavour Instant Noodles,Cup,5.0
Acecook,Super Cup Yochan Ika Yakisoba,Tray,1.5
Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,5.0
Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,3.25
Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,3.75
Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,5.0
Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,5.0
Lele,Instant Noodles Beef,Pack,3.5
Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,5.0
Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,4.0
Nongshim,Shin Ramyun Black,Pack,5.0
Nissin,Nippon Onomichi Ramen,Bowl,4.75
Uni-President,Pickled Cabbage Beef,Pack,4.25
Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,2.0
Maruchan,Gotsumori Chanpon Ramen,Bowl,4.5
Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,5.0
Uni-President,Mushroom Flavor,Pack,0.0
Samyang Foods,Jjamppong Big Bowl,Bowl,4.5
Sokensha,Curry Udon,Pack,3.5
Nissin,Straits Reborn Laksa,Pack,5.0
Nongshim,Budae Jjigae Noodle Soup,Pack,4.5
Takamori,Hearty Japanese Style Curry Udon,Pack,5.0
Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,4.5
Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,5.0
Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,1.0
Samurai Ramen,Umami Ramen,Pack,4.0
Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,4.5
Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,3.5
Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,5.0
Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,4.5
Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,3.5
Mom's Dry Noodle,Dan Dan Noodle,Pack,5.0
Samyang Foods,Samyang Ramen Classic Edition,Bowl,5.0
MyKuali,Penang Red Tom Yum Goong Noodle,Pack,5.0
Maggi,Hot Heads Green Chilli Noodles,Pack,3.5
Samyang Foods,Mala Buldak Bokkeummyun,Pack,3.75
Indomie,RMy Noodlez Rumput Laut,Pack,4.0
